条件	説明
宿泊者名簿記入必須	旅館業法に基づき、チェックイン前に全ゲストの宿泊者名簿記入を完了させる必要がある
ダブルブッキング禁止	同一部屋・同一日に複数の予約が重複しないよう在庫管理を厳密に行う
チェックイン時刻制約	設定されたチェックイン時刻以降のみチェックイン処理が可能
チェックアウト時刻制約	設定されたチェックアウト時刻までにチェックアウト処理を完了する
清掃完了後アサイン	部屋状態がInspected（点検済）またはVacant（待機）の部屋のみチェックイン可能な部屋として割り当てられる
権限による機能制限	スタッフに割り当てられた権限ロールに応じて、利用可能な機能が制限される
施設アクセス制限	スタッフは自分に割り当てられた施設のみアクセス可能
在庫数整合性	予約済数 + 残数 = 販売可能数が常に成立する
料金同期タイミング	料金変更後、即座または定期バッチで外部OTAに同期する
在庫同期タイミング	予約取込・キャンセル後、即座に外部OTAに在庫を同期する
予約変更時の外部通知	予約情報の変更（ステータス、部屋、日程等）は外部OTAに通知する
トークン有効期限	宿泊者名簿記入用トークンは発行から一定期間（例：7日間）のみ有効
キャンセルポリシー適用	レートプランに設定されたキャンセルポリシーに従いキャンセル料を計算する
最小泊数制限	レートプランに設定された最小泊数以上の予約のみ受け付ける
収容人数制限	部屋タイプの収容可能人数を超える予約は受け付けない
清掃優先順位	次回チェックイン予定時刻が早い部屋を優先的に清掃する
売上計上タイミング	チェックアウト完了時に売上を確定・計上する
ADR計算式	ADR = 総売上金額 ÷ 販売客室数
OCC計算式	OCC（稼働率） = 販売客室数 ÷ 総客室数 × 100
RevPAR計算式	RevPAR = ADR × OCC（または 総売上金額 ÷ 総客室数）
外部システム切替時の整合性	サイトコントローラー変更時も予約・在庫・料金データの整合性を保つ
複数施設での施設切替	複数施設を管理するユーザーは、施設を意識せずシームレスに切り替えられる
モバイル操作対応	清掃ステータス更新など現場作業は片手でも操作可能なUIを提供する
