業務	BUC	アクティビティ	ユースケース	情報	条件	アクター	外部システム	説明
スタッフ管理	スタッフを登録する	スタッフ情報入力	スタッフ情報を登録する	スタッフ	権限による機能制限	人事部担当者		スタッフの基本情報を入力して新規登録する
スタッフ管理	スタッフを登録する	権限初期設定	初期権限を設定する	スタッフ,権限	権限による機能制限	人事部担当者		登録時に初期権限ロールを割り当てる
スタッフ管理	スタッフを登録する	登録完了通知	登録完了メールを送信する	スタッフ		人事部担当者	メール配信システム	スタッフにログイン情報を含むメール通知を送信する
スタッフ管理	スタッフ情報を変更する	スタッフ検索	スタッフを検索する	スタッフ		人事部担当者		変更対象のスタッフを検索する
スタッフ管理	スタッフ情報を変更する	情報更新	スタッフ情報を更新する	スタッフ		人事部担当者		スタッフの連絡先やパスワードなどを更新する
スタッフ管理	スタッフに権限を割り当てる	スタッフ選択	スタッフを選択する	スタッフ		人事部担当者		権限を割り当てるスタッフを選択する
スタッフ管理	スタッフに権限を割り当てる	権限設定	権限ロールを割り当てる	スタッフ,権限	権限による機能制限	人事部担当者		選択したスタッフに権限ロールを割り当てる
スタッフ管理	スタッフに施設を割り当てる	スタッフ選択	スタッフを選択する	スタッフ		人事部担当者		施設を割り当てるスタッフを選択する
スタッフ管理	スタッフに施設を割り当てる	施設選択	担当施設を選択する	スタッフ,施設	施設アクセス制限	人事部担当者		スタッフが担当する施設を選択する
スタッフ管理	スタッフに施設を割り当てる	割当確定	施設割当を確定する	スタッフ,施設	施設アクセス制限	人事部担当者		スタッフと施設の紐付けを確定する
施設管理	施設を登録する	施設情報入力	施設基本情報を登録する	施設		施設管理者		施設名、住所、アクセス方法などを入力して登録する
施設管理	施設を登録する	営業時間設定	チェックイン・アウト時刻を設定する	施設	チェックイン時刻制約,チェックアウト時刻制約	施設管理者		施設のチェックイン・アウト時刻を設定する
施設管理	施設情報を更新する	施設検索	施設を検索する	施設		施設管理者		更新対象の施設を検索する
施設管理	施設情報を更新する	情報更新	施設情報を更新する	施設		施設管理者		施設の各種情報を更新する
施設管理	部屋タイプを登録する	部屋タイプ情報入力	部屋タイプを登録する	部屋タイプ	収容人数制限	施設管理者		部屋タイプの名称、収容人数、設備などを入力して登録する
施設管理	部屋タイプを登録する	料金基準設定	基準料金を設定する	部屋タイプ		施設管理者		部屋タイプの基準料金を設定する
施設管理	部屋タイプ情報を更新する	部屋タイプ検索	部屋タイプを検索する	部屋タイプ		施設管理者		更新対象の部屋タイプを検索する
施設管理	部屋タイプ情報を更新する	情報更新	部屋タイプ情報を更新する	部屋タイプ		施設管理者		部屋タイプの各種情報を更新する
施設管理	部屋を登録する	部屋情報入力	部屋を登録する	部屋		施設管理者		部屋番号、タイプ、外部連携IDなどを入力して登録する
施設管理	部屋を登録する	初期状態設定	部屋初期状態を設定する	部屋,部屋状態		施設管理者		部屋の初期状態をVacantに設定する
施設管理	部屋情報を更新する	部屋検索	部屋を検索する	部屋		施設管理者		更新対象の部屋を検索する
施設管理	部屋情報を更新する	情報更新	部屋情報を更新する	部屋		施設管理者		部屋の各種情報を更新する
料金管理	シーズンを登録する	シーズン情報入力	シーズンを登録する	シーズン		施設管理者		シーズン名、期間、料金倍率を入力して登録する
料金管理	シーズンを登録する	カレンダー反映	シーズンをカレンダーに反映する	シーズン,料金カレンダー		施設管理者		登録したシーズンを料金カレンダーに反映する
料金管理	レートプランを登録する	プラン情報入力	レートプランを登録する	レートプラン	キャンセルポリシー適用,最小泊数制限	施設管理者		プラン名、基準料金、適用条件などを入力して登録する
