コンテキスト	バリエーション	値	説明
清掃管理	部屋状態ステータス	Vacant、Occupied、Dirty、Cleaning、Inspected、Out-of-order	部屋の現在状態を表す。予約状況と清掃状況に応じて遷移し、部屋のアサイン可否判定や清掃管理に活用される
予約管理	予約ステータス	予約確定、チェックイン済、チェックアウト済、キャンセル、ノーショー	予約のライフサイクルを表す。予約管理、売上計上、在庫調整の判断基準として活用される
清掃管理	清掃ステータス	未着手、清掃中、清掃完了、点検済	清掃作業の進捗状態を表す。清掃スタッフの作業管理、フロントへの完了通知に活用される
宿泊者名簿管理	宿泊者名簿記入ステータス	未送信、送信済、記入済、確認済	宿泊者名簿の記入プロセスの進行状態を表す。チェックイン業務の進捗確認、法令遵守の確認に活用される
予約管理	OTA種別	楽天トラベル、じゃらん、Booking.com、Airbnb、Expedia、直接予約、その他	予約の流入元を表す。流入元別売上分析、OTA別手数料計算、マーケティング分析に活用される
外部連携	サイトコントローラー種別	ねっぱん、Beds24、TL-Lincoln、手動連携	使用する外部連携システムの種別を表す。API接続方法の切り替え、連携設定の管理に活用される
スタッフ・権限管理	権限ロール	Admin、Reservation Manager、Front Desk、Housekeeping、Accounting、Owner View Only	スタッフの権限レベルを表す。機能アクセス制御、画面表示制御、データ操作権限の管理に活用される
料金管理	レートプラン種別	通常料金、早割、直前割、連泊割、シーズン料金、グループ割、会員割	料金プランの種別を表す。料金計算、プラン別売上分析、外部OTAへのプラン配信に活用される
料金管理	キャンセルポリシー種別	返金可、7日前まで無料、3日前まで無料、返金不可	キャンセル時の対応方針を表す。キャンセル料計算、予約条件の明示に活用される
施設・部屋管理	ベッドタイプ	シングル、ダブル、ツイン、クイーン、キング、和室（布団）、二段ベッド	部屋のベッド種別を表す。予約時の部屋選択、ゲストの要望対応に活用される
施設・部屋管理	喫煙可否	喫煙可、禁煙	部屋の喫煙可否を表す。予約時の部屋選択条件、ゲストの要望対応に活用される
外部連携	外部連携ステータス	未同期、同期中、同期済、同期エラー	外部システムとのデータ同期状態を表す。同期処理の進捗確認、エラー対応に活用される
売上分析	売上分析指標	ADR、OCC、RevPAR、総売上、純利益、手数料総額	売上を分析するKPIを表す。経営判断、売上改善施策の検討に活用される
料金管理	曜日区分	平日、週末（金土）、祝前日、特定日	料金設定や分析のための曜日区分を表す。曜日別料金設定、稼働率分析に活用される
料金管理	シーズン区分	通常期、繁忙期、閑散期、超繁忙期（年末年始・GW等）	料金設定のためのシーズン区分を表す。シーズン別料金設定、需要予測に活用される
